gene	excel_sheets	has_report	report_paths	status	category	lines	has_duplicate	coverage_status	reason
CCT8	重新pa一下:1113	True	detail/nucleus-cytoplasm/CCT8/CCT8-evaluation.md	scored	nucleus-cytoplasm	206	False	COVERED_SCORED	Report present
CD1E	重新pa一下:585	True	detail/nucleolus/CD1E/CD1E-evaluation.md	scored	nucleolus	180	False	COVERED_SCORED	Report present
CD2BP2	Sheet1:263	True	detail/nucleoplasm/CD2BP2/CD2BP2-evaluation.md	scored	nucleoplasm	105	False	COVERED_SCORED	Report present
CD34	研究很少:4	True	detail/rejected/CD34/CD34-evaluation.md	rejected	rejected	175	False	COVERED_REJECTED	Report present
CD72	Sheet1:264	True	detail/rejected/CD72/CD72-evaluation.md	rejected	rejected	167	False	COVERED_REJECTED	Report present
CD83	研究很少:213	True	detail/rejected/CD83/CD83-evaluation.md	rejected	rejected	168	False	COVERED_REJECTED	Report present
CDA	研究很少:523	True	detail/rejected/CDA/CDA-evaluation.md	rejected	rejected	180	False	COVERED_REJECTED	Report present
CDADC1	重新pa一下:314	True	detail/nucleoplasm/CDADC1/CDADC1-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
CDAN1	Sheet1:265	True	detail/nucleoplasm/CDAN1/CDAN1-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CDC123	Sheet1:266	True	detail/nucleoplasm/CDC123/CDC123-evaluation.md	scored	nucleoplasm	119	False	COVERED_SCORED	Report present
CDC14A	Sheet1:267	True	detail/nucleoplasm/CDC14A/CDC14A-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CDIN1	研究很多:96	True	detail/nucleus-cytoplasm/CDIN1/CDIN1-evaluation.md	scored	nucleus-cytoplasm	110	False	COVERED_SCORED	Report present
CDIP1	研究很多:100	True	detail/nucleus-cytoplasm/CDIP1/CDIP1-evaluation.md	scored	nucleus-cytoplasm	122	False	COVERED_SCORED	Report present
CDPF1	重新pa一下:255	True	detail/nucleoplasm/CDPF1/CDPF1-evaluation.md	scored	nucleoplasm	167	False	COVERED_SCORED	Report present
CDR2	Sheet1:269	True	detail/rejected/CDR2/CDR2-evaluation.md	rejected	rejected	176	False	COVERED_REJECTED	Report present
CDT1	研究很少:186	True	detail/rejected/CDT1/CDT1-evaluation.md	rejected	rejected	179	False	COVERED_REJECTED	Report present
CDV3	重新pa一下:1111	True	detail/nucleoplasm/CDV3/CDV3-evaluation.md	scored	nucleoplasm	182	False	COVERED_SCORED	Report present
CDX1	Sheet1:270	True	detail/rejected/CDX1/CDX1-evaluation.md	rejected	rejected	177	False	COVERED_REJECTED	Report present
CDX2	研究很少:152	True	detail/rejected/CDX2/CDX2-evaluation.md	rejected	rejected	171	False	COVERED_REJECTED	Report present
CDX4	Sheet1:271	True	detail/nuclear-speckle/CDX4/CDX4-evaluation.md	scored	nuclear-speckle	177	False	COVERED_SCORED	Report present
CDY1B	研究很多:116	True	detail/nucleoplasm/CDY1B/CDY1B-evaluation.md	scored	nucleoplasm	132	False	COVERED_SCORED	Report present
CDY2B	研究很多:117	True	detail/nucleoplasm/CDY2B/CDY2B-evaluation.md	scored	nucleoplasm	132	False	COVERED_SCORED	Report present
CDYL	Sheet1:272	True	detail/nuclear-speckle/CDYL/CDYL-evaluation.md	scored	nuclear-speckle	179	False	COVERED_SCORED	Report present
CDYL2	Sheet1:273	True	detail/nucleoplasm/CDYL2/CDYL2-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
CEACAM19	研究很多:99	True	detail/rejected/CEACAM19/CEACAM19-evaluation.md	rejected	rejected	170	False	COVERED_REJECTED	Report present
CEBPA	研究很少:62	True	detail/rejected/CEBPA/CEBPA-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CEBPB	研究很少:171	True	detail/rejected/CEBPB/CEBPB-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CEBPD	Sheet1:274	True	detail/rejected/CEBPD/CEBPD-evaluation.md	rejected	rejected	179	False	COVERED_REJECTED	Report present
CEBPE	Sheet1:275	True	detail/nucleoplasm/CEBPE/CEBPE-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
CEBPG	Sheet1:276	True	detail/nucleoplasm/CEBPG/CEBPG-evaluation.md	scored	nucleoplasm	195	False	COVERED_SCORED	Report present
CEBPZ	Sheet1:277	True	detail/nucleoplasm/CEBPZ/CEBPZ-evaluation.md	scored	nucleoplasm	173	False	COVERED_SCORED	Report present
CECR2	Sheet1:278	True	detail/nucleoplasm/CECR2/CECR2-evaluation.md	scored	nucleoplasm	105	False	COVERED_SCORED	Report present
CEMP1	Sheet1:279	True	detail/nucleoplasm/CEMP1/CEMP1-evaluation.md	scored	nucleoplasm	173	False	COVERED_SCORED	Report present
CENPA	Sheet1:280	True	detail/rejected/CENPA/CENPA-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CENPB	Sheet1:281	True	detail/rejected/CENPB/CENPB-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
CENPC	Sheet1:282	True	detail/rejected/CENPC/CENPC-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CENPE	Sheet1:283	True	detail/rejected/CENPE/CENPE-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CENPF	Sheet1:284	True	detail/rejected/CENPF/CENPF-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CENPH	Sheet1:285	True	detail/nucleoplasm/CENPH/CENPH-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CENPI	Sheet1:286	True	detail/nucleoplasm/CENPI/CENPI-evaluation.md	scored	nucleoplasm	186	False	COVERED_SCORED	Report present
CENPK	Sheet1:287	True	detail/chromatin/CENPK/CENPK-evaluation.md	scored	chromatin	103	False	COVERED_SCORED	Report present
CENPL	研究很多:102	True	detail/chromatin/CENPL/CENPL-evaluation.md	scored	chromatin	109	False	COVERED_SCORED	Report present
CENPM	Sheet1:288	True	detail/nucleoplasm/CENPM/CENPM-evaluation.md	scored	nucleoplasm	182	False	COVERED_SCORED	Report present
CENPN	重新pa一下:1379	True	detail/nucleoplasm/CENPN/CENPN-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
CENPO	重新pa一下:7	True	detail/nucleoplasm/CENPO/CENPO-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CENPP	Sheet1:289	True	detail/nucleoplasm/CENPP/CENPP-evaluation.md	scored	nucleoplasm	168	False	COVERED_SCORED	Report present
CENPQ	重新pa一下:1377	True	detail/nucleoplasm/CENPQ/CENPQ-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
CENPS	重新pa一下:1308	True	detail/nucleoplasm/CENPS/CENPS-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
CENPT	Sheet1:290	True	detail/nucleoplasm/CENPT/CENPT-evaluation.md	scored	nucleoplasm	186	False	COVERED_SCORED	Report present
CENPU	Sheet1:291	True	detail/nucleoplasm/CENPU/CENPU-evaluation.md	scored	nucleoplasm	186	False	COVERED_SCORED	Report present
CENPV	研究很多:103	True	detail/chromatin/CENPV/CENPV-evaluation.md	scored	chromatin	115	False	COVERED_SCORED	Report present
CENPW	重新pa一下:114	True	detail/nucleoplasm/CENPW/CENPW-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
CENPX	Sheet1:292	True	detail/chromatin/CENPX/CENPX-evaluation.md	scored	chromatin	103	False	COVERED_SCORED	Report present
CEP112	重新pa一下:959	True	detail/nucleoplasm/CEP112/CEP112-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CEP152	Sheet1:293	True	detail/nucleoplasm/CEP152/CEP152-evaluation.md	scored	nucleoplasm	119	False	COVERED_SCORED	Report present
CEP162	研究很多:104	True	detail/nucleus-cytoplasm/CEP162/CEP162-evaluation.md	scored	nucleus-cytoplasm	222	False	COVERED_SCORED	Report present
CEP164	研究很多:105	True	detail/nucleoplasm/CEP164/CEP164-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CEP19	研究很多:106	True	detail/nucleoplasm/CEP19/CEP19-evaluation.md	scored	nucleoplasm	76	False	COVERED_SCORED	Report present
CEP20	重新pa一下:1112	True	detail/nucleoplasm/CEP20/CEP20-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
CEP290	Sheet1:294	True	detail/rejected/CEP290/CEP290-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
CEP350	重新pa一下:298	True	detail/nucleoplasm/CEP350/CEP350-evaluation.md	scored	nucleoplasm	185	False	COVERED_SCORED	Report present
CEP57	重新pa一下:861	True	detail/nucleus-cytoplasm/CEP57/CEP57-evaluation.md	scored	nucleus-cytoplasm	176	False	COVERED_SCORED	Report present
CEP63	研究很多:107	True	detail/nucleoplasm/CEP63/CEP63-evaluation.md	scored	nucleoplasm	76	False	COVERED_SCORED	Report present
CEP68	研究很多:108	True	detail/nucleoplasm/CEP68/CEP68-evaluation.md	scored	nucleoplasm	75	False	COVERED_SCORED	Report present
CEP70	重新pa一下:256	True	detail/nucleoplasm/CEP70/CEP70-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
CEP76	研究很多:109	True	detail/rejected/CEP76/CEP76-evaluation.md	rejected	rejected	183	False	COVERED_REJECTED	Report present
CEP85	研究很多:110	True	detail/nucleolus/CEP85/CEP85-evaluation.md	scored	nucleolus	78	False	COVERED_SCORED	Report present
CEPT1	重新pa一下:1189	True	detail/nucleoplasm/CEPT1/CEPT1-evaluation.md	scored	nucleoplasm	174	False	COVERED_SCORED	Report present
CERCAM	研究很多:111	True	detail/rejected/CERCAM/CERCAM-evaluation.md	rejected	rejected	175	False	COVERED_REJECTED	Report present
CERKL	重新pa一下:825	True	detail/nucleoplasm/CERKL/CERKL-evaluation.md	scored	nucleoplasm	181	False	COVERED_SCORED	Report present
CERS2	Sheet1:295	True	detail/rejected/CERS2/CERS2-evaluation.md	rejected	rejected	170	False	COVERED_REJECTED	Report present
CERS3	重新pa一下:586	True	detail/nucleoplasm/CERS3/CERS3-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
CERS4	重新pa一下:1389	True	detail/nucleoplasm/CERS4/CERS4-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
CERS5	Sheet1:296	True	detail/nuclear-envelope/CERS5/CERS5-evaluation.md	scored	nuclear-envelope	119	False	COVERED_SCORED	Report present
CERT1	重新pa一下:205	True	detail/nucleoplasm/CERT1/CERT1-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CES3	重新pa一下:1307	True	detail/nuclear-envelope/CES3/CES3-evaluation.md	scored	nuclear-envelope	172	False	COVERED_SCORED	Report present
CETN1	重新pa一下:227	True	detail/nucleoplasm/CETN1/CETN1-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CETN2	Sheet1:297	True	detail/nuclear-envelope/CETN2/CETN2-evaluation.md	scored	nuclear-envelope	183	False	COVERED_SCORED	Report present
CETN3	重新pa一下:1395	True	detail/nucleus-cytoplasm/CETN3/CETN3-evaluation.md	scored	nucleus-cytoplasm	181	False	COVERED_SCORED	Report present
CFDP1	Sheet1:298	True	detail/chromatin/CFDP1/CFDP1-evaluation.md	scored	chromatin	152	False	COVERED_SCORED	Report present
CFL1	Sheet1:299	True	detail/rejected/CFL1/CFL1-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
CFL2	Sheet1:300	True	detail/nucleoplasm/CFL2/CFL2-evaluation.md	scored	nucleoplasm	182	False	COVERED_SCORED	Report present
CFLAR	Sheet1:301	True	detail/rejected/CFLAR/CFLAR-evaluation.md	rejected	rejected	180	False	COVERED_REJECTED	Report present
CGAS	研究很少:182	True	detail/rejected/CGAS/CGAS-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
CGGBP1	研究很少:506	True	detail/rejected/CGGBP1/CGGBP1-evaluation.md	rejected	rejected	34	False	COVERED_REJECTED	Report present
CGNL1	重新pa一下:1327	True	detail/nuclear-body/CGNL1/CGNL1-evaluation.md	scored	nuclear-body	170	False	COVERED_SCORED	Report present
CGRRF1	Sheet1:302	True	detail/nucleoplasm/CGRRF1/CGRRF1-evaluation.md	scored	nucleoplasm	163	False	COVERED_SCORED	Report present
CHAF1A	研究很少:503	True	detail/rejected/CHAF1A/CHAF1A-evaluation.md	rejected	rejected	34	False	COVERED_REJECTED	Report present
CHAF1B	Sheet1:303	True	detail/nucleoplasm/CHAF1B/CHAF1B-evaluation.md	scored	nucleoplasm	104	False	COVERED_SCORED	Report present
CHCHD1	重新pa一下:738	True	detail/nucleolus/CHCHD1/CHCHD1-evaluation.md	scored	nucleolus	172	False	COVERED_SCORED	Report present
CHCT1	研究很多:112	True	detail/nucleoplasm/CHCT1/CHCT1-evaluation.md	scored	nucleoplasm	102	False	COVERED_SCORED	Report present
CHEK1	Sheet1:304	True	detail/rejected/CHEK1/CHEK1-evaluation.md	rejected	rejected	39	False	COVERED_REJECTED	Report present
CHEK2	研究很少:517	True	detail/rejected/CHEK2/CHEK2-evaluation.md	rejected	rejected	180	False	COVERED_REJECTED	Report present
CHFR	重新pa一下:960	True	detail/nucleoplasm/CHFR/CHFR-evaluation.md;detail/rejected/CHFR/CHFR-evaluation.md	scored	nucleoplasm	162	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
CHM	Sheet1:305	True	detail/rejected/CHM/CHM-evaluation.md	rejected	rejected	178	False	COVERED_REJECTED	Report present
CHML	Sheet1:306	True	detail/nucleoplasm/CHML/CHML-evaluation.md	scored	nucleoplasm	167	False	COVERED_SCORED	Report present
CHMP1A	Sheet1:307	True	detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CHMP1B	重新pa一下:299	True	detail/nuclear-envelope/CHMP1B/CHMP1B-evaluation.md	scored	nuclear-envelope	186	False	COVERED_SCORED	Report present
CHMP2A	重新pa一下:1027	True	detail/nuclear-envelope/CHMP2A/CHMP2A-evaluation.md	scored	nuclear-envelope	174	False	COVERED_SCORED	Report present
CHMP4B	重新pa一下:734	True	detail/nucleoplasm/CHMP4B/CHMP4B-evaluation.md;detail/rejected/CHMP4B/CHMP4B-evaluation.md	scored	nucleoplasm	183	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
CHMP7	Sheet1:308	True	detail/nuclear-envelope/CHMP7/CHMP7-evaluation.md	scored	nuclear-envelope	173	False	COVERED_SCORED	Report present
CHN2	重新pa一下:961	True	detail/nuclear-body/CHN2/CHN2-evaluation.md	scored	nuclear-body	178	False	COVERED_SCORED	Report present
CHP2	Sheet1:309	True	detail/nucleoplasm/CHP2/CHP2-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CHPF2	重新pa一下:300	True	detail/nucleoplasm/CHPF2/CHPF2-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CHRAC1	重新pa一下:1325	True	detail/nucleoplasm/CHRAC1/CHRAC1-evaluation.md	scored	nucleoplasm	174	False	COVERED_SCORED	Report present
CHST1	重新pa一下:733	True	detail/nucleoplasm/CHST1/CHST1-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
CHST2	重新pa一下:296	True	detail/nucleoplasm/CHST2/CHST2-evaluation.md	scored	nucleoplasm	171	False	COVERED_SCORED	Report present
CHST7	重新pa一下:582	True	detail/nucleoplasm/CHST7/CHST7-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CHTF18	重新pa一下:1100	True	detail/nucleoplasm/CHTF18/CHTF18-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
CHTF8	重新pa一下:139	True	detail/nucleoplasm/Chtf8/Chtf8-evaluation.md	scored	nucleoplasm	173	False	COVERED_SCORED	Report present via case-normalized gene match
CHTOP	Sheet1:310	True	detail/nucleolus/CHTOP/CHTOP-evaluation.md	scored	nucleolus	169	False	COVERED_SCORED	Report present
CHUK	Sheet1:311	True	detail/rejected/CHUK/CHUK-evaluation.md	rejected	rejected	181	False	COVERED_REJECTED	Report present
CIAO1	重新pa一下:934	True	detail/nucleoplasm/CIAO1/CIAO1-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CIAO2A	重新pa一下:316	True	detail/nucleoplasm/CIAO2A/CIAO2A-evaluation.md	scored	nucleoplasm	177	False	COVERED_SCORED	Report present
CIAO2B	重新pa一下:96	True	detail/nucleoplasm/CIAO2B/CIAO2B-evaluation.md	scored	nucleoplasm	181	False	COVERED_SCORED	Report present
CIAPIN1	重新pa一下:1040	True	detail/nucleolus/CIAPIN1/CIAPIN1-evaluation.md	scored	nucleolus	180	False	COVERED_SCORED	Report present
CIART	Sheet1:312	True	detail/nucleoplasm/CIART/CIART-evaluation.md	scored	nucleoplasm	177	False	COVERED_SCORED	Report present
CIB1	重新pa一下:858	True	detail/nucleoplasm/CIB1/CIB1-evaluation.md;detail/rejected/CIB1/CIB1-evaluation.md	scored	nucleoplasm	199	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
CIC	研究很少:175	True	detail/rejected/CIC/CIC-evaluation.md	rejected	rejected	179	False	COVERED_REJECTED	Report present
CIDEA	Sheet1:313	True	detail/rejected/CIDEA/CIDEA-evaluation.md	rejected	rejected	179	False	COVERED_REJECTED	Report present
CIDEC	Sheet1:314	True	detail/rejected/CIDEC/CIDEC-evaluation.md	rejected	rejected	178	False	COVERED_REJECTED	Report present
CIITA	研究很少:528	True	detail/rejected/CIITA/CIITA-evaluation.md	rejected	rejected	177	False	COVERED_REJECTED	Report present
CILK1	Sheet1:315	True	detail/nucleoplasm/CILK1/CILK1-evaluation.md	scored	nucleoplasm	187	False	COVERED_SCORED	Report present
CIMAP1D	重新pa一下:9	True	detail/rejected/CIMAP1D/CIMAP1D-evaluation.md	rejected	rejected	163	False	COVERED_REJECTED	Report present
CIMAP3	研究很多:163	True	detail/nucleoplasm/CIMAP3/CIMAP3-evaluation.md	scored	nucleoplasm	157	False	COVERED_SCORED	Report present
CIMIP2C	研究很多:164	True	detail/nucleoplasm/CIMIP2C/CIMIP2C-evaluation.md	scored	nucleoplasm	157	False	COVERED_SCORED	Report present
CIMIP6	研究很多:165	True	detail/rejected/CIMIP6/CIMIP6-evaluation.md	rejected	rejected	163	False	COVERED_REJECTED	Report present
CINP	重新pa一下:742	True	detail/nucleoplasm/CINP/CINP-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CIP2A	Sheet1:316	True	detail/rejected/CIP2A/CIP2A-evaluation.md	rejected	rejected	181	False	COVERED_REJECTED	Report present
CIPC	Sheet1:317	True	detail/nucleolus/CIPC/CIPC-evaluation.md	scored	nucleolus	179	False	COVERED_SCORED	Report present
CIRSR	重新pa一下:214	True	detail/nuclear-body/CIRSR/CIRSR-evaluation.md	scored	nuclear-body	157	False	COVERED_SCORED	Report present
CITED1	Sheet1:318	True	detail/rejected/CITED1/CITED1-evaluation.md	rejected	rejected	184	False	COVERED_REJECTED	Report present
CITED2	Sheet1:319	True	detail/rejected/CITED2/CITED2-evaluation.md	rejected	rejected	39	False	COVERED_REJECTED	Report present
CITED4	Sheet1:320	True	detail/nucleoplasm/CITED4/CITED4-evaluation.md	scored	nucleoplasm	94	False	COVERED_SCORED	Report present
CKAP5	重新pa一下:866	True	detail/chromatin/CKAP5/CKAP5-evaluation.md	scored	chromatin	176	False	COVERED_SCORED	Report present
CKS1B	研究很少:366	True	detail/rejected/CKS1B/CKS1B-evaluation.md	rejected	rejected	178	False	COVERED_REJECTED	Report present
CKS2	Sheet1:321	True	detail/rejected/CKS2/CKS2-evaluation.md	rejected	rejected	177	False	COVERED_REJECTED	Report present
CLASP1	Sheet1:322	True	detail/nucleoplasm/CLASP1/CLASP1-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CLBA1	研究很多:168	True	detail/nucleoplasm/CLBA1/CLBA1-evaluation.md	scored	nucleoplasm	164	False	COVERED_SCORED	Report present
CLDND2	研究很多:170	True	detail/nucleoplasm/CLDND2/CLDND2-evaluation.md	scored	nucleoplasm	163	False	COVERED_SCORED	Report present
CLEC16A	Sheet1:323	True	detail/rejected/CLEC16A/CLEC16A-evaluation.md	rejected	rejected	180	False	COVERED_REJECTED	Report present
CLHC1	研究很多:169	True	detail/nucleolus/CLHC1/CLHC1-evaluation.md	scored	nucleolus	159	False	COVERED_SCORED	Report present
CLIC2	研究很多:115	True	detail/nucleoplasm/CLIC2/CLIC2-evaluation.md	scored	nucleoplasm	182	False	COVERED_SCORED	Report present
CLINT1	重新pa一下:1399	True	detail/nucleoplasm/CLINT1/CLINT1-evaluation.md	scored	nucleoplasm	173	False	COVERED_SCORED	Report present
CLK1	Sheet1:324	True	detail/rejected/CLK1/CLK1-evaluation.md	rejected	rejected	181	False	COVERED_REJECTED	Report present
CLK2	Sheet1:325	True	detail/rejected/CLK2/CLK2-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
CLK3	Sheet1:326	True	detail/nuclear-speckle/CLK3/CLK3-evaluation.md	scored	nuclear-speckle	181	False	COVERED_SCORED	Report present
CLK4	Sheet1:327	True	detail/nucleoplasm/CLK4/CLK4-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CLMN	重新pa一下:860	True	detail/nuclear-body/CLMN/CLMN-evaluation.md	scored	nuclear-body	169	False	COVERED_SCORED	Report present
CLN6	Sheet1:328	True	detail/rejected/CLN6/CLN6-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
CLNS1A	Sheet1:329	True	detail/nucleoplasm/CLNS1A/CLNS1A-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
CLOCK	研究很少:53	True	detail/rejected/CLOCK/CLOCK-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
CLSPN	Sheet1:330	True	detail/nucleoplasm/CLSPN/CLSPN-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CLXN	研究很多:86	True	detail/rejected/CLXN/CLXN-evaluation.md	rejected	rejected	167	False	COVERED_REJECTED	Report present
CMAS	重新pa一下:1329	True	detail/rejected/CMAS/CMAS-evaluation.md	rejected	rejected	171	False	COVERED_REJECTED	Report present
CMIP	重新pa一下:305	True	detail/nucleoplasm/CMIP/CMIP-evaluation.md;detail/rejected/CMIP/CMIP-evaluation.md	scored	nucleoplasm	163	True	COVERED_DUPLICATE_NEEDS_REVIEW	Multiple reports for same gene
CMPK1	重新pa一下:175	True	detail/nucleoplasm/CMPK1/CMPK1-evaluation.md	scored	nucleoplasm	175	False	COVERED_SCORED	Report present
CMSS1	重新pa一下:58	True	detail/nuclear-envelope/CMSS1/CMSS1-evaluation.md	scored	nuclear-envelope	171	False	COVERED_SCORED	Report present
CMTM1	研究很多:167	True	detail/nucleoplasm/CMTM1/CMTM1-evaluation.md	scored	nucleoplasm	168	False	COVERED_SCORED	Report present
CMTM3	重新pa一下:304	True	detail/nucleoplasm/CMTM3/CMTM3-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CMTM8	重新pa一下:737	True	detail/nucleoplasm/CMTM8/CMTM8-evaluation.md	scored	nucleoplasm	176	False	COVERED_SCORED	Report present
CMYA5	重新pa一下:583	True	detail/rejected/CMYA5/CMYA5-evaluation.md	rejected	rejected	174	False	COVERED_REJECTED	Report present
CNBD2	研究很多:207	True	detail/nucleoplasm/CNBD2/CNBD2-evaluation.md	scored	nucleoplasm	163	False	COVERED_SCORED	Report present
CNDP2	重新pa一下:1097	True	detail/nucleoplasm/CNDP2/CNDP2-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
CNEP1R1	重新pa一下:313	True	detail/nuclear-envelope/CNEP1R1/CNEP1R1-evaluation.md	scored	nuclear-envelope	176	False	COVERED_SCORED	Report present
CNGA4	研究很多:208	True	detail/nucleoplasm/CNGA4/CNGA4-evaluation.md	scored	nucleoplasm	180	False	COVERED_SCORED	Report present
CNTD1	重新pa一下:743	True	detail/nucleoplasm/CNTD1/CNTD1-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
CNTLN	研究很多:101	True	detail/nucleoplasm/CNTLN/CNTLN-evaluation.md	scored	nucleoplasm	109	False	COVERED_SCORED	Report present
CNTNAP1	重新pa一下:253	True	detail/nucleoplasm/CNTNAP1/CNTNAP1-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
CNTNAP5	重新pa一下:739	True	detail/nucleolus/CNTNAP5/CNTNAP5-evaluation.md	scored	nucleolus	170	False	COVERED_SCORED	Report present
COG3	重新pa一下:1038	True	detail/nucleoplasm/COG3/COG3-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
COG5	Sheet1:331	True	detail/nucleoplasm/COG5/COG5-evaluation.md	scored	nucleoplasm	154	False	COVERED_SCORED	Report present
COG6	重新pa一下:1378	True	detail/nuclear-body/COG6/COG6-evaluation.md	scored	nuclear-body	178	False	COVERED_SCORED	Report present
COIL	研究很少:160	True	detail/rejected/COIL/COIL-evaluation.md	rejected	rejected	182	False	COVERED_REJECTED	Report present
COLGALT2	Sheet1:332	True	detail/nucleoplasm/COLGALT2/COLGALT2-evaluation.md	scored	nucleoplasm	122	False	COVERED_SCORED	Report present
COMMD1	Sheet1:333	True	detail/nucleoplasm/COMMD1/COMMD1-evaluation.md	scored	nucleoplasm	170	False	COVERED_SCORED	Report present
COMMD10	Sheet1:334	True	detail/nucleoplasm/COMMD10/COMMD10-evaluation.md	scored	nucleoplasm	177	False	COVERED_SCORED	Report present
COMMD3	Sheet1:335	True	detail/nucleoplasm/COMMD3/COMMD3-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
COMMD4	重新pa一下:1117	True	detail/nucleoplasm/COMMD4/COMMD4-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
COMMD5	重新pa一下:59	True	detail/nucleoplasm/COMMD5/COMMD5-evaluation.md	scored	nucleoplasm	178	False	COVERED_SCORED	Report present
COMMD6	研究很多:198	True	detail/rejected/COMMD6/COMMD6-evaluation.md	rejected	rejected	55	False	COVERED_REJECTED	Report present
COMMD8	研究很多:199	True	detail/rejected/COMMD8/COMMD8-evaluation.md	rejected	rejected	55	False	COVERED_REJECTED	Report present
COMMD9	研究很多:200	True	detail/rejected/COMMD9/COMMD9-evaluation.md	rejected	rejected	55	False	COVERED_REJECTED	Report present
COP1	研究很少:502	True	detail/rejected/COP1/COP1-evaluation.md	rejected	rejected	177	False	COVERED_REJECTED	Report present
COPG1	重新pa一下:963	True	detail/nucleoplasm/COPG1/COPG1-evaluation.md	scored	nucleoplasm	183	False	COVERED_SCORED	Report present
COPRS	重新pa一下:1176	True	detail/nucleoplasm/COPRS/COPRS-evaluation.md	scored	nucleoplasm	179	False	COVERED_SCORED	Report present
COQ7	重新pa一下:541	True	detail/nucleoplasm/COQ7/COQ7-evaluation.md	scored	nucleoplasm	181	False	COVERED_SCORED	Report present
COTL1	重新pa一下:1037	True	detail/nucleoplasm/COTL1/COTL1-evaluation.md	scored	nucleoplasm	174	False	COVERED_SCORED	Report present
CPA3	Sheet1:336	True	detail/rejected/CPA3/CPA3-evaluation.md	rejected	rejected	176	False	COVERED_REJECTED	Report present
CPED1	重新pa一下:1036	True	detail/nucleoplasm/CPED1/CPED1-evaluation.md	scored	nucleoplasm	168	False	COVERED_SCORED	Report present
