gene,protein_full_name,status,category,score,nuclear_score,is_new,mtime,size_score,novelty_score,structure_score,domain_score,ppi_score,corroboration_score,recommendation,pubmed_count,localization,rejection_reason,source_table_status,source_table_category,report_path,docs_report_path,category_page,lines,has_hpa,has_if_image,has_pae,has_pdb,has_ppi,has_pubmed,has_scoring_table,has_manual_review,duplicate_count,duplicate_type,is_primary_candidate,known_backlog_flags,parse_quality,parse_notes
CCDC138,Coiled-coil domain-containing protein 138,scored,nucleoplasm,73.6,7,False,,10,10,7,7,3,+0.5,⭐⭐⭐,4,Nucleoplasm; 额外: Cytosol,,scored,nucleoplasm,detail/nucleoplasm/CCDC138/CCDC138-evaluation.md,reports/CCDC138.html,category/nucleoplasm.html,229,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CTNNBL1,Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19),scored,nucleoplasm,73.6,7,False,,10,8,10,8,2,+2.5,⭐⭐⭐,36,"Nucleoplasm; 额外: Centrosome, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/CTNNBL1/CTNNBL1-evaluation.md,reports/CTNNBL1.html,category/nucleoplasm.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DUSP26,Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer),scored,nucleoplasm,73.6,7,False,,10,8,9,8,3,+2.5,⭐⭐⭐,39,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/DUSP26/DUSP26-evaluation.md,reports/DUSP26.html,category/nucleoplasm.html,232,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
LRRC42,Leucine-rich repeat-containing protein 42,scored,nucleoplasm,73.6,7,False,,10,10,7,7,3,+0.5,⭐⭐⭐,5,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/LRRC42/LRRC42-evaluation.md,reports/LRRC42.html,category/nucleoplasm.html,224,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RERGL,Ras-related and estrogen-regulated growth inhibitor-like protein (EC 3.6.5.2) (RERG/Ras-like protein),scored,nucleoplasm,73.6,7,False,,10,10,7,7,3,+0.5,⭐⭐⭐,12,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/RERGL/RERGL-evaluation.md,reports/RERGL.html,category/nucleoplasm.html,204,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
SLF2,SMC5-SMC6 complex localization factor protein 2,scored,nucleoplasm,73.6,8.67,False,,6,10,4.67,6,6,0,⭐⭐⭐,17," Nucleoplasm, Vesicles",,scored,nucleoplasm,detail/nucleoplasm/SLF2/SLF2-evaluation.md,reports/SLF2__nucleoplasm.html,category/nucleoplasm.html,211,True,True,True,True,True,True,True,True,2,SCORED_REJECTED_CONFLICT,False,manual_review;duplicate:SCORED_REJECTED_CONFLICT,GOOD,ok
WDR48,WD repeat-containing protein 48 (USP1-associated factor 1) (WD repeat endosomal protein) (p80),scored,nucleoplasm,73.6,7,False,,10,8,10,8,2,+2.5,⭐⭐⭐,29,Vesicles,,scored,nucleoplasm,detail/nucleoplasm/WDR48/WDR48-evaluation.md,reports/WDR48.html,category/nucleoplasm.html,224,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NOC2L,Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor),scored,nucleolus,73.5,6,False,,10,10,8,7,4,+1.0,⭐⭐⭐,15,暂无数据（HPA IF 图像已本地嵌入。,,scored,nucleolus,detail/nucleolus/NOC2L/NOC2L-evaluation.md,reports/NOC2L.html,category/nucleolus.html,236,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ATF7IP2,Activating transcription factor 7-interacting protein 2 (ATF7-interacting protein 2) (MBD1-containing chromatin-associated factor 2),scored,nucleoplasm,73.5,7,False,,10,10,6,8,4,+0.5,⭐⭐⭐,28,无 IF 数据,,scored,nucleoplasm,detail/nucleoplasm/ATF7IP2/ATF7IP2-evaluation.md,reports/ATF7IP2.html,category/nucleoplasm.html,221,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FOXN4,Forkhead box protein N4,scored,nucleoplasm,73.5,7,False,,10,8,6,10,6,+0.5,⭐⭐⭐,33,暂无数据,,scored,nucleoplasm,detail/nucleoplasm/FOXN4/FOXN4-evaluation.md,reports/FOXN4.html,category/nucleoplasm.html,227,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PCID2,PCI domain-containing protein 2 (CSN12-like protein),scored,nuclear-envelope,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,31,"Nucleoplasm, Nucleoli",,scored,nuclear-envelope,detail/nuclear-envelope/PCID2/PCID2-evaluation.md,reports/PCID2.html,category/nuclear-envelope.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RUNDC1,RUN domain-containing protein 1,scored,nuclear-speckle,73.3,7,False,,10,10,7,7,3,+0,⭐⭐⭐,4,Nuclear speckles; 额外: Cytosol,,scored,nuclear-speckle,detail/nuclear-speckle/RUNDC1/RUNDC1-evaluation.md,reports/RUNDC1.html,category/nuclear-speckle.html,218,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
SNW1,SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein),scored,nuclear-speckle,73.3,9,False,,10,6,10,7,3,+3.0,⭐⭐⭐,47,Nucleoplasm; 额外: Cytosol,,scored,nuclear-speckle,detail/nuclear-speckle/SNW1/SNW1-evaluation.md,reports/SNW1.html,category/nuclear-speckle.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TRIM69,E3 ubiquitin-protein ligase TRIM69 (EC 2.3.2.27) (RFP-like domain-containing protein trimless) (RING finger protein 36) (RING-type E3 ubiquitin transferase TRIM69) (Tripartite motif-containing protein 69),scored,nuclear-speckle,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,28,暂无HPA定位数据,,scored,nuclear-speckle,detail/nuclear-speckle/TRIM69/TRIM69-evaluation.md,reports/TRIM69.html,category/nuclear-speckle.html,232,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ENDOV,Endonuclease V (hEndoV) (EC 3.1.26.-) (Inosine-specific endoribonuclease),scored,nucleolus,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,30,暂无HPA定位数据,,scored,nucleolus,detail/nucleolus/ENDOV/ENDOV-evaluation.md,reports/ENDOV.html,category/nucleolus.html,221,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
ARB2A,Cotranscriptional regulator ARB2A (ARB2 cotranscriptional regulator A) (Cotranscriptional regulator FAM172A) (Protein FAM172A),scored,nucleoplasm,73.3,7,False,,10,10,7,8,2,+1.0,⭐⭐⭐,0,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/ARB2A/ARB2A-evaluation.md,reports/ARB2A.html,category/nucleoplasm.html,206,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
C1orf52,UPF0690 protein C1orf52 (BCL10-associated gene protein),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,0,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/C1orf52/C1orf52-evaluation.md,reports/C1orf52.html,category/nucleoplasm.html,237,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DENND2C,DENN domain-containing protein 2C,scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,3,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/DENND2C/DENND2C-evaluation.md,reports/DENND2C.html,category/nucleoplasm.html,228,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
DHX40,Probable ATP-dependent RNA helicase DHX40 (EC 3.6.4.13) (DEAH box protein 40) (Protein PAD),scored,nucleoplasm,73.3,7,False,,10,10,7,8,2,+1.0,⭐⭐⭐,8,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/DHX40/DHX40-evaluation.md,reports/DHX40.html,category/nucleoplasm.html,221,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DUX1,Double homeobox protein 1,scored,nucleoplasm,73.3,8,False,,8,10,7,7,2,+1.0,⭐⭐⭐,7,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/DUX1/DUX1-evaluation.md,reports/DUX1.html,category/nucleoplasm.html,205,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
DUX3,Putative double homeobox protein 3,scored,nucleoplasm,73.3,8,False,,8,10,7,7,2,+1.0,⭐⭐⭐,1,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/DUX3/DUX3-evaluation.md,reports/DUX3.html,category/nucleoplasm.html,206,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
DUX5,Double homeobox protein 5,scored,nucleoplasm,73.3,8,False,,8,10,7,7,2,+1.0,⭐⭐⭐,3,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/DUX5/DUX5-evaluation.md,reports/DUX5.html,category/nucleoplasm.html,185,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
EID2B,EP300-interacting inhibitor of differentiation 2B (EID-2B) (EID-2-like inhibitor of differentiation 3) (EID-3),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,2,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/EID2B/EID2B-evaluation.md,reports/EID2B.html,category/nucleoplasm.html,218,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FBXO44,F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,22,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/FBXO44/FBXO44-evaluation.md,reports/FBXO44.html,category/nucleoplasm.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
GPATCH1,G patch domain-containing protein 1 (Evolutionarily conserved G-patch domain-containing protein),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,10,"Nucleoplasm; 额外: Primary cilium, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/GPATCH1/GPATCH1-evaluation.md,reports/GPATCH1.html,category/nucleoplasm.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ITGB3BP,Centromere protein R (CENP-R) (Beta-3-endonexin) (Integrin beta-3-binding protein) (Nuclear receptor-interacting factor 3),scored,nucleoplasm,73.3,7,False,,8,8,10,7,3,+3.0,⭐⭐⭐,21,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/ITGB3BP/ITGB3BP-evaluation.md,reports/ITGB3BP.html,category/nucleoplasm.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
KCTD19,BTB/POZ domain-containing protein KCTD19 (Potassium channel tetramerization domain-containing protein 19),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,13,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/KCTD19/KCTD19-evaluation.md,reports/KCTD19.html,category/nucleoplasm.html,216,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
KPNA6,Importin subunit alpha-7 (Karyopherin subunit alpha-6),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,23,Cytosol; 额外: Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/KPNA6/KPNA6-evaluation.md,reports/KPNA6.html,category/nucleoplasm.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
LRIF1,Ligand-dependent nuclear receptor-interacting factor 1 (HP1-binding protein enriched in inactive X chromosome protein 1) (HBiX1) (Receptor-interacting factor 1),scored,nucleoplasm,73.3,9,False,,10,10,4,7,3,+1.0,⭐⭐⭐,14,Nucleoplasm; 额外: Centriolar satellite,,scored,nucleoplasm,detail/nucleoplasm/LRIF1/LRIF1-evaluation.md,reports/LRIF1.html,category/nucleoplasm.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
LYPLA2,Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,31,"Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/LYPLA2/LYPLA2-evaluation.md,reports/LYPLA2.html,category/nucleoplasm.html,236,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MACROD1,ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,35,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/MACROD1/MACROD1-evaluation.md,reports/MACROD1.html,category/nucleoplasm.html,245,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NMRK1,Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1),scored,nucleoplasm,73.3,4,False,,8,10,10,8,3,+3.0,⭐⭐⭐,7,"Nucleoplasm, Cytosol; 额外: Centrosome",,scored,nucleoplasm,detail/nucleoplasm/NMRK1/NMRK1-evaluation.md,reports/NMRK1.html,category/nucleoplasm.html,233,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NPLOC4,Nuclear protein localization protein 4 homolog (Protein NPL4),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,28,"Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/NPLOC4/NPLOC4-evaluation.md,reports/NPLOC4.html,category/nucleoplasm.html,245,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NUPR2,Nuclear protein 2 (Nuclear transcriptional regulator 1-like protein) (Nuclear transcriptional regulator protein 2),scored,nucleoplasm,73.3,8,False,,5,10,7,7,3,+1.0,⭐⭐⭐,3,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/NUPR2/NUPR2-evaluation.md,reports/NUPR2.html,category/nucleoplasm.html,204,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
OGFOD1,Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,25,Nucleoplasm; 额外: Cytosol,,scored,nucleoplasm,detail/nucleoplasm/OGFOD1/OGFOD1-evaluation.md,reports/OGFOD1.html,category/nucleoplasm.html,239,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PITPNA,Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,24,Cytosol; 额外: Vesicles,,scored,nucleoplasm,detail/nucleoplasm/PITPNA/PITPNA-evaluation.md,reports/PITPNA.html,category/nucleoplasm.html,239,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
QTMAN,tRNA-queuosine alpha-mannosyltransferase (QTMAN) (EC 2.4.1.110) (Glycosyltransferase-like domain-containing protein 1) (Mannosyltransferase-like protein Xa) (Mat-Xa),scored,nucleoplasm,73.3,7,False,,10,10,7,8,2,+1.0,⭐⭐⭐,2,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/QTMAN/QTMAN-evaluation.md,reports/QTMAN.html,category/nucleoplasm.html,185,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
RIPPLY3,Protein ripply3 (Down syndrome critical region protein 6),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,12,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/RIPPLY3/RIPPLY3-evaluation.md,reports/RIPPLY3.html,category/nucleoplasm.html,228,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SSX5,Protein SSX5,scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,8,"Nucleoplasm, Nucleoli",,scored,nucleoplasm,detail/nucleoplasm/SSX5/SSX5-evaluation.md,reports/SSX5.html,category/nucleoplasm.html,231,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SSX7,Protein SSX7,scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,3,"Nucleoplasm, Nucleoli",,scored,nucleoplasm,detail/nucleoplasm/SSX7/SSX7-evaluation.md,reports/SSX7.html,category/nucleoplasm.html,233,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TCF24,Transcription factor 24 (TCF-24),scored,nucleoplasm,73.3,8,False,,8,10,6,7,3,+1.0,⭐⭐⭐,6,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/TCF24/TCF24-evaluation.md,reports/TCF24.html,category/nucleoplasm.html,204,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TSNAX,Translin-associated protein X (Translin-associated factor X),scored,nucleoplasm,73.3,7,False,,10,8,9,8,3,+2.0,⭐⭐⭐,21,"Nucleoplasm; 额外: Golgi apparatus, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/TSNAX/TSNAX-evaluation.md,reports/TSNAX.html,category/nucleoplasm.html,245,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CRAMP1,Protein cramped-like (Cramped chromatin regulator homolog 1) (Hematological and neurological expressed 1-like protein),scored,chromatin,73.2,8,False,,5,10,6,7,4,+0,⭐⭐⭐,9,"nucleoplasm+nucleoli+cytosol (Approved, A-431)",,scored,chromatin,detail/chromatin/CRAMP1/CRAMP1-evaluation.md,reports/CRAMP1.html,category/chromatin.html,206,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SUGP2,SURP and G-patch domain-containing protein 2,scored,nuclear-body,73.2,7,False,,7,10,6,4,7,0,⭐⭐⭐,8,Nuclear bodies; Nucleoplasm,,scored,nuclear-body,detail/nuclear-body/SUGP2/SUGP2-evaluation.md,reports/SUGP2.html,category/nuclear-body.html,138,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SUPT6H,Transcription elongation factor SPT6,scored,nuclear-envelope,73.2,8,False,,5,8,10,7,4,+2.0,⭐⭐⭐,22,HPA subcellular IF 图像可用（见下方 HPA IF 图像修正块）,,scored,nuclear-envelope,detail/nuclear-envelope/SUPT6H/SUPT6H-evaluation.md,reports/SUPT6H.html,category/nuclear-envelope.html,260,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
ARGLU1,Arginine and glutamate-rich protein 1,scored,nuclear-speckle,73.2,9,False,,10,8,7,7,4,+1.0,⭐⭐⭐,21,"Nucleoplasm (main), Mitochondria/Cytosol (uncertain, trace)",,scored,nuclear-speckle,detail/nuclear-speckle/ARGLU1/ARGLU1-evaluation.md,reports/ARGLU1.html,category/nuclear-speckle.html,198,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TMX1,Thioredoxin-related transmembrane protein 1,scored,nucleolus,73.2,4,False,,9,8,7,8,8,0,⭐⭐⭐,33,nucleolus,,scored,nucleolus,detail/nucleolus/TMX1/TMX1-evaluation.md,reports/TMX1.html,category/nucleolus.html,135,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ADAT3,tRNA-specific adenosine-34 deaminase regulatory subunit ADAT3,scored,nucleoplasm,73.2,9,False,,7,8,6,6,7,0,⭐⭐⭐,22,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/ADAT3/ADAT3-evaluation.md,reports/ADAT3.html,category/nucleoplasm.html,225,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
BHLHA15,"Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)",scored,nucleoplasm,73.2,9,False,,8,8,7,8,4,+1.0,⭐⭐⭐,31,"Nucleoplasm (HPA Approved, HEK293)",,scored,nucleoplasm,detail/nucleoplasm/BHLHA15/BHLHA15-evaluation.md,reports/BHLHA15.html,category/nucleoplasm.html,238,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
C20orf27,Adipose-secreted signaling protein,scored,nucleoplasm,73.2,9,False,,7,10,6,4,5,0,⭐⭐⭐,3,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/C20orf27/C20orf27-evaluation.md,reports/C20orf27.html,category/nucleoplasm.html,108,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CAPNS1,Calpain small subunit 1,scored,nucleoplasm,73.2,9,False,,7,7,9,4,7,0,⭐⭐⭐,70,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CAPNS1/CAPNS1-evaluation.md,reports/CAPNS1.html,category/nucleoplasm.html,103,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CCDC25,Coiled-coil domain-containing protein 25,scored,nucleoplasm,73.2,9,False,,7,9,7,4,5,0,⭐⭐⭐,30,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CCDC25/CCDC25-evaluation.md,reports/CCDC25.html,category/nucleoplasm.html,104,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CCDC51,Mitochondrial potassium channel,scored,nucleoplasm,73.2,8,False,,9,10,5,4,6,0,⭐⭐⭐,6,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CCDC51/CCDC51-evaluation.md,reports/CCDC51.html,category/nucleoplasm.html,104,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DMRTA2,Doublesex- and mab-3-related transcription factor A2 (Doublesex- and mab-3-related transcription factor 5),scored,nucleoplasm,73.2,9,False,,10,8,6,10,3,+1,⭐⭐⭐,33,"Rh30, SH-SY5Y",,scored,nucleoplasm,detail/nucleoplasm/DMRTA2/DMRTA2-evaluation.md,reports/DMRTA2.html,category/nucleoplasm.html,189,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
FXYD6,FXYD domain-containing ion transport regulator 6,scored,nucleoplasm,73.2,9,False,,6,8,8,4,6,0,⭐⭐⭐,48,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/FXYD6/FXYD6-evaluation.md,reports/FXYD6.html,category/nucleoplasm.html,101,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
GALK2,N-acetylgalactosamine kinase,scored,nucleoplasm,73.2,5,False,,6,10,9,5,7,+1.0,⭐⭐⭐,8,"Nucleoplasm, Cytosol (Approved)",,scored,nucleoplasm,detail/nucleoplasm/GALK2/GALK2-evaluation.md,reports/GALK2.html,category/nucleoplasm.html,148,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
HSH2D,Hematopoietic SH2 domain-containing protein,scored,nucleoplasm,73.2,9,False,,9,10,5,4,5,0,⭐⭐⭐,9,nan (Approved),,scored,nucleoplasm,detail/nucleoplasm/HSH2D/HSH2D-evaluation.md,reports/HSH2D.html,category/nucleoplasm.html,127,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
IFRD2,Interferon-related developmental regulator 2,scored,nucleoplasm,73.2,7,False,,10,10,8,8,2,+0,⭐⭐⭐,8,暂无数据（HPA IF 图像已本地嵌入。,,scored,nucleoplasm,detail/nucleoplasm/IFRD2/IFRD2-evaluation.md,reports/IFRD2.html,category/nucleoplasm.html,228,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
KRABD5,KRAB box domain containing 5,scored,nucleoplasm,73.2,9,False,,9,10,5,4,5,0,⭐⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/KRABD5/KRABD5-evaluation.md,reports/KRABD5.html,category/nucleoplasm.html,90,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
KRBA2,KRAB domain-containing protein 2,scored,nucleoplasm,73.2,9,False,,9,10,5,4,5,0,⭐⭐⭐,3,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/KRBA2/KRBA2-evaluation.md,reports/KRBA2.html,category/nucleoplasm.html,106,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Embryonic growth-associated protein homolog) (Protein MAK10 homolog)",scored,nucleoplasm,73.2,6,False,,10,10,8,7,4,+0,⭐⭐⭐,13,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/NAA35/NAA35-evaluation.md,reports/NAA35.html,category/nucleoplasm.html,169,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NAXE,NAD(P)H-hydrate epimerase,scored,nucleoplasm,73.2,9,False,,7,9,7,4,5,0,⭐⭐⭐,27,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/NAXE/NAXE-evaluation.md,reports/NAXE.html,category/nucleoplasm.html,101,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PAM16,Mitochondrial import inner membrane translocase subunit TIM16,scored,nucleoplasm,73.2,9,False,,6,8,7,4,7,0,⭐⭐⭐,33,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/PAM16/PAM16-evaluation.md,reports/PAM16.html,category/nucleoplasm.html,104,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PGAP6,Post-GPI attachment to proteins factor 6,scored,nucleoplasm,73.2,8,False,,9,10,6,4,5,0,⭐⭐⭐,2,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/PGAP6/PGAP6-evaluation.md,reports/PGAP6.html,category/nucleoplasm.html,109,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SEC24B,Protein transport protein Sec24B,scored,nucleoplasm,73.2,9,False,,6,8,6,4,8,0,⭐⭐⭐,35,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/SEC24B/SEC24B-evaluation.md,reports/SEC24B.html,category/nucleoplasm.html,107,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SLC7A6OS,Probable RNA polymerase II nuclear localization protein SLC7A6OS,scored,nucleoplasm,73.2,9,False,,9,10,5,4,5,0,⭐⭐⭐,3,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/SLC7A6OS/SLC7A6OS-evaluation.md,reports/SLC7A6OS.html,category/nucleoplasm.html,105,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
