gene_symbol	species	full_name	aliases	uniprot_accession	uniprot_entry_name	uniprot_length	uniprot_reviewed	uniprot_pubmed_count	pubmed_count_strict	pubmed_count_loose	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	compartments_nuclear_score	compartments_nuclear_evidence	uniprot_subcellular	uniprot_all_gene_names	uniprot_go_c	uniprot_go_ids	tier	num_sources	evidence_quality	source_uniprot	source_hpa	source_compartments	category	category_reason	final_category	ChIP_Atlas_class	ChIP_Atlas_antigen	ChIP_Atlas_hg38	ChIP_Atlas_mm10	ENCODE_ChIP_WT	ENCODE_ChIP_pert	ATAC_perturbed	FP80_Degree	FP80_Nuclear_Degree	FP80_ChIP_Neighbor_Degree	FP90_Degree	FP90_Nuclear_Degree	FP90_ChIP_Neighbor_Degree	BioGRID_Human_Degree	BioGRID_Human_Nuclear_Degree	BioGRID_Human_ChIP_Neighbor_Degree	BioGRID_Mouse_Degree	BioGRID_Mouse_Nuclear_Degree	BioGRID_Mouse_ChIP_Neighbor_Degree	STRING_Human_Degree	STRING_Human_Nuclear_Degree	STRING_Human_ChIP_Neighbor_Degree	STRING_Mouse_Degree	STRING_Mouse_Nuclear_Degree	STRING_Mouse_ChIP_Neighbor_Degree	Combined_BS_Human_Degree	Combined_BS_Human_Nuclear_Degree	Combined_BS_Human_ChIP_Neighbor_Degree	Combined_BS_Mouse_Degree	Combined_BS_Mouse_Nuclear_Degree	Combined_BS_Mouse_ChIP_Neighbor_Degree	Has_FP80_PPI	Has_FP90_PPI	Has_BioGRID_Human_PPI	Has_BioGRID_Mouse_PPI	Has_STRING_Human_PPI	Has_STRING_Mouse_PPI	Has_Combined_BS_Human_PPI	Has_Combined_BS_Mouse_PPI	Has_Any_Human_PPI	Has_Any_Mouse_PPI	Has_Any_PPI
ZPR1	human	Zinc finger protein ZPR1	ZNF259	B4DVT8;O75312	ZPR1_HUMAN	459	True	10	128	155	128	热门	False		Approved	5.000	evidence=IDA;score=5.0;sources=UniProtKB	SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000256|ARBA:ARBA00004489}. Cell projection, growth cone {ECO:0000256|ARBA:ARBA00004624}. Cytoplasm, perinuclear region {ECO:0000256|ARBA:ARBA00004556}. Nucleus, Cajal body {ECO:0000256|ARBA:ARBA00004408}. Nucleus, gem {ECO:0000256|ARBA:ARBA00034695}. Nucleus, nucleolus {ECO:0000256|ARBA:ARBA00004604}.;SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus. Nucleus, gem. Nucleus, Cajal body. Cytoplasm, perinuclear region. Cytoplasm. Cell projection, axon {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Note=Colocalized with SMN1 in Gemini of coiled bodies (gems), Cajal bodies, axon and growth cones of neurons (By similarity). Localized predominantly in the cytoplasm in serum-starved cells growth arrested in G0 of the mitotic cell cycle. Localized both in the nucleus and cytoplasm at the G1 phase of the mitotic cell cycle. Accumulates in the subnuclear bodies during progression into the S phase of the mitotic cell cycle. Diffusely localized throughout the cell during mitosis. Colocalized with NPAT and SMN1 in nuclear bodies including gems (Gemini of coiled bodies) and Cajal bodies in a cell cycle-dependent manner. Translocates together with EEF1A1 from the cytoplasm to the nucleolus after treatment with mitogens. Colocalized with EGFR in the cytoplasm of quiescent cells. Translocates from the cytoplasm to the nucleus in a epidermal growth factor (EGF)-dependent manner. {ECO:0000250}.	ZPR1 ZNF259			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	85	59	12	0	0	0	11	8	5	0	0	0	94	65	16	0	0	0	False	False	True	False	True	False	True	False	True	False	True
ZRANB1	human	Ubiquitin thioesterase ZRANB1	TRABID	Q9UGI0	ZRAN1_HUMAN	708	True	11	44	65	44	较多	True	Cytosol; Nucleoplasm	Supported	5.000	score=5.0; evidence=IDA; sources=HPA;UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18281465, ECO:0000269|PubMed:21834987, ECO:0000269|PubMed:25752577}. Nucleus {ECO:0000269|PubMed:11463333, ECO:0000269|PubMed:18281465, ECO:0000269|PubMed:25752577}. Note=Enriched in punctate localization in the cytoplasm. {ECO:0000269|PubMed:18281465, ECO:0000269|PubMed:25752577}.	ZRANB1 TRABID			1	3	3	True	True	True	zinc_finger_nonfamily	reclassified_from_ZNF	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	10	9	2	4	4	1	4158	2706	685	0	0	0	9	9	2	0	0	0	4160	2708	685	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZRANB2	human	Zinc finger Ran-binding domain-containing protein 2	ZIS; ZNF265	O95218	ZRAB2_HUMAN	330	True	21	45	1059	45	较多	True	Nucleoplasm	Enhanced	4.000	score=4.0; evidence=IDA; sources=HPA	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11448987}.	ZRANB2 ZIS ZNF265			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	1	1	0	1	1	0	188	147	54	0	0	0	6	6	2	0	0	0	188	147	54	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZRANB3	human	DNA annealing helicase and endonuclease ZRANB3		Q5FWF4	ZRAB3_HUMAN	1079	True	15	64	64	64	热门	True	Nucleoplasm	Supported	5.000	score=5.0; evidence=IDA; sources=HPA;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}. Chromosome {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}. Note=Following DNA damage, recruited to sites of DNA damage and stalled replication forks by polyubiquitinated PCNA (PubMed:22704558, PubMed:22705370, PubMed:22759634). {ECO:0000269|PubMed:22704558, ECO:0000269|PubMed:22705370, ECO:0000269|PubMed:22759634}.	ZRANB3			1	3	3	True	True	True	zinc_finger_nonfamily	reclassified_from_ZNF	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	2	1	1	1	1	1	31	16	3	0	0	0	10	10	6	0	0	0	40	25	8	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZRSR2	human	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2	U2AF1-RS2; U2AF1L2; U2AF1RS2; URP	Q15696	U2AFM_HUMAN	482	True	15	177	178	177	热门	False			5.000	score=5.0; evidence=IDA; sources=Reactome;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15146077}.	ZRSR2 U2AF1-RS2 U2AF1L2 U2AF1RS2 URP			1	3	3	True	True	True	rbp_rnp_nonfamily	RBP_RNP	rbp_rnp_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	3	3	1	2	2	1	72	60	14	0	0	0	47	47	19	0	0	0	93	81	26	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN1	human	Zinc finger and SCAN domain-containing protein 1		Q8NBB4	ZSCA1_HUMAN	408	True	3	15	15	15	中等	True	Nucleoli; Nucleoplasm	Approved	3.000	score=3.0; evidence=ISA; sources=NTNU_SB	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN1			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	14	14	13	5	5	5	54	50	33	0	0	0	7	6	5	0	0	0	55	50	33	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN10	human	Zinc finger and SCAN domain-containing protein 10	ZNF206	Q96SZ4	ZSC10_HUMAN	780	True	6	34	34	34	较多	True	Centrosome; Nucleoplasm	Approved	4.000	score=4.0; evidence=TAS; sources=Reactome;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:38386308}.	ZSCAN10 ZNF206			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	3	2	1	0	0	0	8	8	6	0	0	0	11	10	7	0	0	0	False	False	True	False	True	False	True	False	True	False	True
ZSCAN12	human	Zinc finger and SCAN domain-containing protein 12	KIAA0426; ZNF305; ZNF96	O43309	ZSC12_HUMAN	611	True	5	16	17	16	中等	True	Cytosol; Nuclear bodies; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN12 KIAA0426 ZNF305 ZNF96			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN12	WT:2/pert:0	WT:0/pert:0	1	0	False	9	9	6	9	9	6	61	40	10	0	0	0	0	0	0	0	0	0	61	40	10	0	0	0	True	True	True	False	False	False	True	False	True	True	True
ZSCAN16	human	Zinc finger and SCAN domain-containing protein 16	ZNF392; ZNF435	Q9H4T2	ZSC16_HUMAN	348	True	4	18	18	18	中等	True	Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZSCAN16 ZNF392 ZNF435			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN16	WT:8/pert:0	WT:0/pert:0	1	0	False	5	5	4	5	5	4	13	11	4	0	0	0	0	0	0	0	0	0	13	11	4	0	0	0	True	True	True	False	False	False	True	False	True	True	True
ZSCAN18	human	Zinc finger and SCAN domain-containing protein 18	ZNF447	Q8TBC5	ZSC18_HUMAN	510	True	3	17	17	17	中等	True	Basal body; Cytosol; Nucleoplasm; Primary cilium	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN18 ZNF447			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN18	WT:4/pert:0	WT:0/pert:0	2	0	False	13	13	10	10	10	7	42	36	24	0	0	0	7	7	4	0	0	0	42	36	24	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN2	human	Zinc finger and SCAN domain-containing protein 2	ZFP29;ZNF854	A8K5A9;Q7Z7L9	ZSCA2_HUMAN	614	True	3	7	9	7	中等	True	Cytosol;Nucleoplasm	Approved	3.000	evidence=IBA;score=3.0;sources=GO_Central	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PROSITE-ProRule:PRU00187}.	ZSCAN2 ZFP29 ZNF854			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	8	6	2	0	0	0	0	0	0	0	0	0	8	6	2	0	0	0	False	False	True	False	False	False	True	False	True	False	True
ZSCAN20	human	Zinc finger and SCAN domain-containing protein 20	KOX29; ZNF31; ZNF360	P17040	ZSC20_HUMAN	1043	True	4	9	10	9	中等	True	Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN20 KOX29 ZNF31 ZNF360			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN20	WT:6/pert:0	WT:0/pert:0	3	0	False	26	26	23	4	4	2	64	49	27	0	0	0	22	22	18	0	0	0	64	49	27	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN21	human	Zinc finger and SCAN domain-containing protein 21	ZFP38;ZNF38	A8K8A2;Q9Y5A6	ZSC21_HUMAN	473	True	5	20	22	20	较多	False		Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PROSITE-ProRule:PRU00187}.	ZSCAN21 ZFP38 ZNF38			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN21	WT:2/pert:0	WT:0/pert:0	2	0	False	21	21	18	11	11	9	102	72	45	0	0	0	9	9	7	0	0	0	103	73	45	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN23	human	Zinc finger and SCAN domain-containing protein 23	ZNF390; ZNF453	Q3MJ62	ZSC23_HUMAN	389	True	2	10	0	10	中等	True	Golgi apparatus; Nuclear speckles	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN23 ZNF390 ZNF453			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN23	WT:2/pert:0	WT:0/pert:0	1	0	False	19	19	16	10	10	8	38	33	18	0	0	0	3	3	3	0	0	0	38	33	18	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN25	human	Zinc finger and SCAN domain-containing protein 25	ZNF498	Q6NSZ9	ZSC25_HUMAN	544	True	5	4	8	5	中等	True	Nucleoli fibrillar center; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN25 ZNF498			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	1	0	False	7	7	4	2	2	1	72	56	20	0	0	0	0	0	0	0	0	0	72	56	20	0	0	0	True	True	True	False	False	False	True	False	True	True	True
ZSCAN26	human	Zinc finger and SCAN domain-containing protein 26	ZNF187	B4DVH3;Q16670	ZSC26_HUMAN	478	True	5	1	3	5	中等	True	Nucleoli;Nucleoplasm	Enhanced	5.000	UniProtKB;evidence=NAS;score=5.0;sources=HPA	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:1569959}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PROSITE-ProRule:PRU00187}.	ZSCAN26 ZNF187			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN26	WT:2/pert:0	WT:0/pert:0	1	0	False	1	1	1	0	0	0	56	30	10	0	0	0	0	0	0	0	0	0	56	30	10	0	0	0	True	False	True	False	False	False	True	False	True	True	True
ZSCAN29	human	Zinc finger and SCAN domain-containing protein 29	ZNF690	Q8IWY8	ZSC29_HUMAN	852	True	7	2	3	7	中等	True	Actin filaments; Nucleoplasm; Plasma membrane	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZSCAN29 ZNF690			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN29,GFP/Epitope	WT:15/pert:0	WT:0/pert:0	4	0	False	6	6	6	5	5	5	26	18	11	0	0	0	0	0	0	0	0	0	26	18	11	0	0	0	True	True	True	False	False	False	True	False	True	True	True
ZSCAN30	human	Zinc finger and SCAN domain-containing protein 30	ZNF397OS	Q86W11	ZSC30_HUMAN	494	True	4	1	2	4	较少	True	Cytosol; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZSCAN30 ZNF397OS			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN30	WT:4/pert:0	WT:0/pert:0	2	0	False	9	9	8	3	3	2	14	11	8	0	0	0	5	5	5	0	0	0	14	11	8	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN31	human	Zinc finger and SCAN domain-containing protein 31	ZNF310P; ZNF323	Q96LW9	ZSC31_HUMAN	406	True	8	11	15	11	中等	True	Cytosol; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZSCAN31 ZNF310P ZNF323			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN31	WT:4/pert:0	WT:0/pert:0	1	0	False	0	0	0	0	0	0	17	14	3	0	0	0	0	0	0	0	0	0	17	14	3	0	0	0	False	False	True	False	False	False	True	False	True	False	True
ZSCAN32	human	Zinc finger and SCAN domain-containing protein 32	HCCS5; ZNF434	Q9NX65	ZSC32_HUMAN	697	True	4	0	1	4	较少	True	Cytosol; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN32 ZNF434 HCCS5			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN32	WT:2/pert:0	WT:0/pert:0	1	0	False	28	28	22	16	16	13	44	43	24	0	0	0	22	22	18	0	0	0	44	43	24	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZSCAN9	human	Zinc finger and SCAN domain-containing protein 9	PIG12; ZNF193	O15535	ZSC9_HUMAN	394	True	6	7	16	7	中等	True	Cytosol; Nucleoplasm	Approved			SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	ZSCAN9 ZNF193 PIG12			1	2	3	True	True	False	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZSCAN9	WT:2/pert:0	WT:0/pert:0	1	0	False	5	5	4	4	4	4	18	15	10	0	0	0	1	1	1	0	0	0	18	15	10	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZUP1	human	Zinc finger-containing ubiquitin peptidase 1	C6orf113;ZUFSP;hCG_21762	A0A0S2Z644;Q96AP4	ZUP1_HUMAN	578	True	9	12	18	12	中等	True	Cytosol;Nucleoplasm	Supported	4.000	evidence=IDA;score=4.0;sources=HPA	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29476094}. Nucleus {ECO:0000269|PubMed:29476094, ECO:0000269|PubMed:29576527, ECO:0000269|PubMed:29576528}. Note=Mostly present in the nuclear fraction. Localizes to DNA lesions. {ECO:0000269|PubMed:29576527, ECO:0000269|PubMed:29576528}.	ZUP1 C6orf113 ZUFSP			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger;merged_ZUFSP	zinc_finger_nonfamily	TFs and others	ZUFSP	WT:2/pert:0	WT:0/pert:0	1	0	False	3	3	1	3	3	1	0	0	0	0	0	0	54	47	10	0	0	0	54	47	10	0	0	0	True	True	False	False	True	False	True	False	True	True	True
ZWINT	human	Outer kinetochore KNL1 complex subunit ZWINT		O95229	ZWINT_HUMAN	277	True	13	163	163	163	热门	True	Cytosol; Nuclear bodies; Nucleoplasm	Enhanced	5.000	score=5.0; evidence=IDA; sources=BHF-UCL;HPA;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:38459128}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:15485811, ECO:0000269|PubMed:15502821, ECO:0000269|PubMed:16732327, ECO:0000269|PubMed:27881301, ECO:0000269|PubMed:38459128}. Note=Localizes to kinetochores from late prophase to anaphase (PubMed:15502821, PubMed:27881301). Localizes to kinetochores both during mitosis and meiosis (By similarity). {ECO:0000250|UniProtKB:Q9CQU5, ECO:0000269|PubMed:15502821, ECO:0000269|PubMed:27881301}.	ZWINT			1	3	3	True	True	True	families	family_Centromere_kinetochore	families			WT:0/pert:0	WT:0/pert:0	0	0	False	2	2	0	2	2	0	150	105	25	0	0	0	98	90	26	0	0	0	220	169	43	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZXDA	human	Zinc finger X-linked protein ZXDA		P98168	ZXDA_HUMAN	799	True	5	14	14	14	中等	True	Nucleoplasm	Approved	3.000	score=3.0; evidence=IBA; sources=GO_Central	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZXDA			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	13	11	2	0	0	0	1	1	1	0	0	0	14	12	3	0	0	0	False	False	True	False	True	False	True	False	True	False	True
ZXDB	human	Zinc finger X-linked protein ZXDB		P98169	ZXDB_HUMAN	803	True	3	10	10	10	中等	True	Nucleoplasm	Approved	3.000	score=3.0; evidence=IBA; sources=GO_Central	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZXDB			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZXDB	WT:2/pert:0	WT:0/pert:0	1	0	False	1	1	0	0	0	0	18	16	8	0	0	0	0	0	0	0	0	0	18	16	8	0	0	0	True	False	True	False	False	False	True	False	True	True	True
ZXDC	human	Zinc finger protein ZXDC	ZXDL	Q2QGD7	ZXDC_HUMAN	858	True	9	16	17	16	中等	True	Nucleoli	Approved	3.000	score=3.0; evidence=IBA; sources=GO_Central	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	ZXDC ZXDL			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZXDC	WT:2/pert:0	WT:0/pert:0	1	0	False	3	3	2	2	2	1	27	18	8	0	0	0	3	3	2	0	0	0	29	20	9	0	0	0	True	True	True	False	True	False	True	False	True	True	True
ZZZ3	human	ZZ-type zinc finger-containing protein 3		Q8IYH5	ZZZ3_HUMAN	903	True	14	21	21	21	较多	True	Nucleoli; Nucleoli rim; Nucleoplasm	Enhanced	4.000	score=4.0; evidence=IDA; sources=ComplexPortal;HPA	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00625}.	ZZZ3			1	3	3	True	True	True	zinc_finger_nonfamily	Zinc_finger	zinc_finger_nonfamily	TFs and others	ZZZ3	WT:6/pert:2	WT:0/pert:0	4	0	False	6	6	2	5	5	2	137	113	72	0	0	0	0	0	0	0	0	0	137	113	72	0	0	0	True	True	True	False	False	False	True	False	True	True	True
A1cf	mouse	APOBEC1 complementation factor	Acf; Asp	Q5YD48	A1CF_MOUSE	595	True	6	81	49329	81	热门	False			5.000	score=5.0; evidence=IDA; sources=GO_Central;MGI;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Predominantly nuclear where it localizes to heterochromatin. Also cytoplasmic where it is found at the outer surface of the endoplasmic reticulum. Shuttles between the nucleus and cytoplasm. May be transported into the nucleus by the nuclear import protein TNPO2/TRN2 or by APOBEC1 (By similarity). {ECO:0000250}.	A1cf Acf Asp			1	2	3	True	False	True	families	family_Chromatin_remodeling	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	6	0	0	0	14	10	6	False	False	False	False	False	True	False	True	False	True	True
Aatf	mouse	Protein AATF	Che1; Trb	Q9JKX4	AATF_MOUSE	526	True	8	169	1432	169	热门	False			5.000	score=5.0; evidence=IDA; sources=GO_Central;MGI	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11071758}.	Aatf Che1 Trb			1	2	3	True	False	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear	TFs and others	AATF	WT:3/pert:0	WT:0/pert:0	1	0	False	9	9	1	6	6	1	0	0	0	58	50	6	0	0	0	139	117	15	0	0	0	171	141	19	True	True	False	True	False	True	False	True	True	True	True
Abitram	mouse	Protein Abitram	Fam206a; Simiate	Q80ZQ9	ABITM_MOUSE	193	True	6	0	5	6	中等	False			5.000	score=5.0; evidence=IDA; sources=MGI;UniProtKB	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:24349419}. Cell projection, lamellipodium {ECO:0000269|PubMed:24782708}. Nucleus {ECO:0000269|PubMed:24782708}. Cell projection, growth cone {ECO:0000269|PubMed:24782708}. Cell projection, dendrite {ECO:0000269|PubMed:24782708}. Note=Localizes to somata and dendrites in cortical neurons. Colocalizes with G- and F-actin in growth cones and proximal dendrites (PubMed:24782708). Colocalizes in the nucleus with PTK2 (PubMed:24782708). {ECO:0000269|PubMed:24782708}.	Abitram Fam206a Simiate			1	2	3	True	False	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	True	True	False	False	False	True	False	True	True	True	True
Abraxas2	mouse	BRISC complex subunit Abraxas 2	Abro1; Fam175b; Kiaa0157	Q3TCJ1	ABRX2_MOUSE	415	True	7	17	38	17	中等	False			5.000	score=5.0; evidence=IDA; sources=MGI;UniProtKB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q15018}. Nucleus {ECO:0000250|UniProtKB:Q15018}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q15018}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q15018}. Note=A minor proportion is detected in the nucleus. Translocates into the nucleus in response to DNA damage. Directly binds to microtubules and is detected at the minus end of K-fibers. Co-localizes with NUMA1 at mitotic spindle poles. {ECO:0000250|UniProtKB:Q15018}.	Abraxas2 Abro1 Fam175b Kiaa0157			1	2	3	True	False	True	families	family_Cell_cycle;family_DNA_replication	families			WT:0/pert:0	WT:0/pert:0	0	0	False	4	3	0	4	3	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	6	6	0	True	True	False	False	False	True	False	True	True	True	True
Abt1	mouse	Activator of basal transcription 1		Q9QYL7	ABT1_MOUSE	269	True	4	45	45	45	较多	False			3.000	score=3.0; evidence=IBA; sources=GO_Central	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10648625}. Nucleus, nucleolus {ECO:0000269|PubMed:10648625}.	Abt1			1	2	2	True	False	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	5	4	1	5	4	1	0	0	0	45	40	18	0	0	0	29	29	4	0	0	0	68	63	21	True	True	False	True	False	True	False	True	True	True	True
Acd	mouse	Adrenocortical dysplasia protein		Q5EE38	ACD_MOUSE	416	True	5	10115	10115	10115	热门	False			4.000	score=4.0; evidence=IDA; sources=BHF-UCL;GO_Central;Reactome	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96AP0}. Chromosome, telomere {ECO:0000250|UniProtKB:Q96AP0}.	Acd			1	2	3	True	False	True	families	family_Telomere	families			WT:0/pert:0	WT:0/pert:0	0	0	False	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	11	9	4	0	0	0	11	9	4	True	True	False	False	False	True	False	True	True	True	True
Acin1	mouse	Apoptotic chromatin condensation inducer in the nucleus	Acinus	Q9JIX8	ACINU_MOUSE	1338	True	10	65	1402	65	热门	False			5.000	score=5.0; evidence=IDA; sources=GO_Central;MGI;UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus speckle {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}. Note=Phosphorylation on Ser-1179 by SRPK2 redistributes it from the nuclear speckles to the nucleoplasm. {ECO:0000250}.	Acin1 Acinus			1	2	3	True	False	True	families	family_Apoptosis	families			WT:0/pert:0	WT:0/pert:0	0	0	False	8	8	5	5	5	3	0	0	0	9	8	6	0	0	0	34	27	12	0	0	0	42	34	18	True	True	False	True	False	True	False	True	True	True	True
