gene	current_path	status	score	lines	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	missing_sources	harvest_completed	rejection_reason	risk_level	recommended_action	reason
Spin2c	detail/rejected/Spin2c/Spin2c-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
LORICRIN	detail/rejected/LORICRIN/LORICRIN-evaluation.md	rejected	?	180	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
CMIP	detail/rejected/CMIP/CMIP-evaluation.md	rejected	?	177	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RIT2	detail/rejected/RIT2/RIT2-evaluation.md	rejected	?	168	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MOSPD1	detail/rejected/MOSPD1/MOSPD1-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ACP4	detail/rejected/ACP4/ACP4-evaluation.md	rejected	?	154	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NKIRAS2	detail/rejected/NKIRAS2/NKIRAS2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RSRP1	detail/rejected/RSRP1/RSRP1-evaluation.md	rejected	?	151	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NRIP2	detail/rejected/NRIP2/NRIP2-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SNTB2	detail/rejected/SNTB2/SNTB2-evaluation.md	rejected	?	194	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Phf11a	detail/rejected/Phf11a/Phf11a-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NDEL1	detail/rejected/NDEL1/NDEL1-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MOB1B	detail/rejected/MOB1B/MOB1B-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
AKIRIN1	detail/rejected/AKIRIN1/AKIRIN1-evaluation.md	rejected	?	122	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
TEX12	detail/rejected/TEX12/TEX12-evaluation.md	rejected	?	178	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
AGPAT4	detail/rejected/AGPAT4/AGPAT4-evaluation.md	rejected	?	114	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPATA22	detail/rejected/SPATA22/SPATA22-evaluation.md	rejected	?	177	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
FAM193A	detail/rejected/FAM193A/FAM193A-evaluation.md	rejected	?	175	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SCFD2	detail/rejected/SCFD2/SCFD2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NQO2	detail/rejected/NQO2/NQO2-evaluation.md	rejected	?	183	?	False	False	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SCEL	detail/rejected/SCEL/SCEL-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SPATA13	detail/rejected/SPATA13/SPATA13-evaluation.md	rejected	?	193	?	False	False	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SNTG1	detail/rejected/SNTG1/SNTG1-evaluation.md	rejected	?	189	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
FA2H	detail/rejected/FA2H/FA2H-evaluation.md	rejected	?	179	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NABP1	detail/rejected/NABP1/NABP1-evaluation.md	rejected	?	168	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
VBP1	detail/rejected/VBP1/VBP1-evaluation.md	rejected	?	177	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RTKN2	detail/rejected/RTKN2/RTKN2-evaluation.md	rejected	?	163	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
QTGAL	detail/rejected/QTGAL/QTGAL-evaluation.md	rejected	?	159	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NOC3L	detail/rejected/NOC3L/NOC3L-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SCHIP1	detail/rejected/SCHIP1/SCHIP1-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NMRK1	detail/rejected/NMRK1/NMRK1-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MRGBP	detail/rejected/MRGBP/MRGBP-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NFATC2IP	detail/rejected/NFATC2IP/NFATC2IP-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
UVRAG	detail/rejected/UVRAG/UVRAG-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
TBC1D1	detail/rejected/TBC1D1/TBC1D1-evaluation.md	rejected	?	178	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MOB2	detail/rejected/MOB2/MOB2-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NIPAL3	detail/rejected/NIPAL3/NIPAL3-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
LTC4S	detail/rejected/LTC4S/LTC4S-evaluation.md	rejected	?	182	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MMS19	detail/rejected/MMS19/MMS19-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SELENOM	detail/rejected/SELENOM/SELENOM-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SDCBP2	detail/rejected/SDCBP2/SDCBP2-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
MOCS2	detail/rejected/MOCS2/MOCS2-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SASH3	detail/rejected/SASH3/SASH3-evaluation.md	rejected	?	156	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
Rhox13	detail/rejected/Rhox13/Rhox13-evaluation.md	rejected	?	146	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SACK1A	detail/rejected/SACK1A/SACK1A-evaluation.md	rejected	?	141	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SYCP1	detail/rejected/SYCP1/SYCP1-evaluation.md	rejected	?	178	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
ALKBH2	detail/rejected/ALKBH2/ALKBH2-evaluation.md	rejected	?	121	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RTKN	detail/rejected/RTKN/RTKN-evaluation.md	rejected	?	165	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NHSL3	detail/rejected/NHSL3/NHSL3-evaluation.md	rejected	?	167	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
CARF	detail/rejected/CARF/CARF-evaluation.md	rejected	?	177	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MIS18A	detail/rejected/MIS18A/MIS18A-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
ADPRHL1	detail/rejected/ADPRHL1/ADPRHL1-evaluation.md	rejected	?	148	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NGDN	detail/rejected/NGDN/NGDN-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NPTXR	detail/rejected/NPTXR/NPTXR-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RTL6	detail/rejected/RTL6/RTL6-evaluation.md	rejected	?	158	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
ATG10	detail/rejected/ATG10/ATG10-evaluation.md	rejected	?	170	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SERPINB10	detail/rejected/SERPINB10/SERPINB10-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
RCCD1	detail/rejected/RCCD1/RCCD1-evaluation.md	rejected	?	179	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
AKIP1	detail/rejected/AKIP1/AKIP1-evaluation.md	rejected	?	114	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NANP	detail/rejected/NANP/NANP-evaluation.md	rejected	?	177	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SULT1E1	detail/rejected/SULT1E1/SULT1E1-evaluation.md	rejected	?	179	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MRPL44	detail/rejected/MRPL44/MRPL44-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
MNS1	detail/rejected/MNS1/MNS1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
TRIM63	detail/rejected/TRIM63/TRIM63-evaluation.md	rejected	?	172	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
GFPT1	detail/rejected/GFPT1/GFPT1-evaluation.md	rejected	?	178	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
CBLC	detail/rejected/CBLC/CBLC-evaluation.md	rejected	?	178	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SBF1	detail/rejected/SBF1/SBF1-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SEPTIN10	detail/rejected/SEPTIN10/SEPTIN10-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NHLRC2	detail/rejected/NHLRC2/NHLRC2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
RSRC2	detail/rejected/RSRC2/RSRC2-evaluation.md	rejected	?	159	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
DLG4	detail/rejected/DLG4/DLG4-evaluation.md	rejected	?	168	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SMCR8	detail/rejected/SMCR8/SMCR8-evaluation.md	rejected	?	188	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
TPPP	detail/rejected/TPPP/TPPP-evaluation.md	rejected	?	184	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SEPHS2	detail/rejected/SEPHS2/SEPHS2-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
MIOS	detail/rejected/MIOS/MIOS-evaluation.md	rejected	?	11	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
RMP64	detail/rejected/RMP64/RMP64-evaluation.md	rejected	?	154	?	False	True	True	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
HSD3B1	detail/rejected/HSD3B1/HSD3B1-evaluation.md	rejected	?	184	?	False	False	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ADAM33	detail/rejected/ADAM33/ADAM33-evaluation.md	rejected	?	168	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NEK1	detail/rejected/NEK1/NEK1-evaluation.md	rejected	?	184	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NIF3L1	detail/rejected/NIF3L1/NIF3L1-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
FGF14	detail/rejected/FGF14/FGF14-evaluation.md	rejected	?	178	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NSMCE4A	detail/rejected/NSMCE4A/NSMCE4A-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ERP29	detail/rejected/ERP29/ERP29-evaluation.md	rejected	?	183	?	False	False	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
HDX	detail/rejected/HDX/HDX-evaluation.md	rejected	?	172	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NSFL1C	detail/rejected/NSFL1C/NSFL1C-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SEPTIN7	detail/rejected/SEPTIN7/SEPTIN7-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
ANAPC13	detail/rejected/ANAPC13/ANAPC13-evaluation.md	rejected	?	179	?	False	True	False	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SENP7	detail/rejected/SENP7/SENP7-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
CIB1	detail/rejected/CIB1/CIB1-evaluation.md	rejected	?	184	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SIGIRR	detail/rejected/SIGIRR/SIGIRR-evaluation.md	rejected	?	176	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
BCLAF1	detail/rejected/BCLAF1/BCLAF1-evaluation.md	rejected	?	181	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
DLGAP5	detail/rejected/DLGAP5/DLGAP5-evaluation.md	rejected	?	181	?	False	True	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NOPCHAP1	detail/rejected/NOPCHAP1/NOPCHAP1-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
N4BP3	detail/rejected/N4BP3/N4BP3-evaluation.md	rejected	?	168	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
TNP1	detail/rejected/TNP1/TNP1-evaluation.md	rejected	?	171	?	False	True	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Mycs	detail/rejected/Mycs/Mycs-evaluation.md	rejected	?	164	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
AGTPBP1	detail/rejected/AGTPBP1/AGTPBP1-evaluation.md	rejected	?	114	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
Obox7	detail/rejected/Obox7/Obox7-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
Mndal	detail/rejected/Mndal/Mndal-evaluation.md	rejected	?	159	?	False	False	False	True	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
NLE1	detail/rejected/NLE1/NLE1-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
PCLO	detail/rejected/PCLO/PCLO-evaluation.md	rejected	?	184	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
CHMP4B	detail/rejected/CHMP4B/CHMP4B-evaluation.md	rejected	?	184	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
CMAS	detail/rejected/CMAS/CMAS-evaluation.md	rejected	?	172	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
SPANXA1	detail/rejected/SPANXA1/SPANXA1-evaluation.md	rejected	?	179	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NSMCE3	detail/rejected/NSMCE3/NSMCE3-evaluation.md	rejected	?	11	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SMPD4	detail/rejected/SMPD4/SMPD4-evaluation.md	rejected	?	186	?	False	True	True	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
NAA30	detail/rejected/NAA30/NAA30-evaluation.md	rejected	?	168	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
Obox6	detail/rejected/Obox6/Obox6-evaluation.md	rejected	?	158	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPG11	detail/rejected/SPG11/SPG11-evaluation.md	rejected	?	184	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SENP8	detail/rejected/SENP8/SENP8-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SAGE1	detail/rejected/SAGE1/SAGE1-evaluation.md	rejected	?	164	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
Obox8	detail/rejected/Obox8/Obox8-evaluation.md	rejected	?	155	?	False	False	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SERF1B	detail/rejected/SERF1B/SERF1B-evaluation.md	rejected	?	11	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
ITSN1	detail/rejected/ITSN1/ITSN1-evaluation.md	rejected	?	184	?	False	True	True	True	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
SEPTIN6	detail/rejected/SEPTIN6/SEPTIN6-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
GGA1	detail/rejected/GGA1/GGA1-evaluation.md	rejected	?	184	?	False	False	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
TNIP1	detail/rejected/TNIP1/TNIP1-evaluation.md	rejected	?	178	?	False	True	True	False	?	False	True	NONE	True	NUCLEAR_FAIL	CRITICAL_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	risk_assessment
NRARP	detail/rejected/NRARP/NRARP-evaluation.md	rejected	?	11	?	False	False	False	False	?	False	True	NONE	True	NUCLEAR_FAIL	LOW	KEEP_REJECTED	risk_assessment
SPANXB1	detail/rejected/SPANXB1/SPANXB1-evaluation.md	rejected	?	183	?	False	True	False	False	?	False	False	NONE	True	NUCLEAR_FAIL	HIGH_FALSE_REJECTION_RISK	MANUAL_REVIEW	risk_assessment
